 Seri Numarası ,Kategori,Raf,Açıklama,Not,Stok Giriş Tarihi,Yenileme Tarihi
 W415589009100 ,Kontrol Bağlantısı,BİNEK 1/1,Soğutma sisteminin genleşme kabının kaçak testi için kontrol bağlantısı ve soğutma sisteminin radyatör vakumlama doldurma cihazı doldurulması için. Hatırlatma: Basınç pompası 124 589 24 21 00 ile ve soğutma sisteminin radyatör vakumlama doldurma cihazı 285 589 00 21 00 bağlantılı olarak.,,,
 W415589009100 ,Kontrol Bağlantısı,BİNEK 1/1,Soğutma sisteminin genleşme kabının kaçak testi için kontrol bağlantısı ve soğutma sisteminin radyatör vakumlama doldurma cihazı doldurulması için. Hatırlatma: Basınç pompası 124 589 24 21 00 ile ve soğutma sisteminin radyatör vakumlama doldurma cihazı 285 589 00 21 00 bağlantılı olarak.,,,
W654589000900,Lokma anahtarı,BİNEK 1/1,Motor bloğunda hidrolik yollu valfın sökülmesi ve takılması için lokma anahtarı,,,
 W607589044300 ,Takma el aleti,BİNEK 1/1,Radyal mil keçesinin volan tarafın takılması için.,,,
 W607589014300 ,Çektirme,BİNEK 1/1,Volan tarafında ve krank milinde radyal mil keçesinin sökülmesi için.,,,
 W7000589003100 ,Çektirme,BİNEK 1/1,Bilgi yok,,,
 W470589010700 ,Tırnaklı Anahtar,BİNEK 1/1, Depo modülündeki ve AdBlue® pompa modülünde rakor somununun takılması ve sökülmesi için kıskaç anahtar.,,,
 W259589001502 ,Malafa,BİNEK 1/1,Bilgi yok,,,
 W700589011400 ,Kovan,BİNEK 1/1,Primer mili contasının takılması için.,,,
 W607589011500 ,Malafa,BİNEK 1/1,Eksantrik milinin kilitlenmesi.,,,
 W415589006300 ,Bilgi Yok,BİNEK 1/2,Bilgi yok,,,
 W626589034000 ,Tutma kilidi,BİNEK 1/2,Bilgi yok,,,
 Bilgi Yok ,Çektirme,BİNEK 1/2,Bilgi yok,,,
 W415589003300 ,Çektirme,BİNEK 1/2,Enine bugi kolundaki taşıma mafsalının çektirilmesi için.,,,
 W470589051500 ,Malafa,BİNEK 1/2,Ön şanzıman dişli kutusundaki radyal mil keçesinin yenilenmesi için malafa.,,,
 W607589054300 ,Takma el aleti,BİNEK 1/2,Kam mili radyal mil keçesinin montajı için içeri çektirme tertibatı. Teknik açıklama : Adaptör 607   589   06   43   00 ile bağlantılı olarak.,,,
 W654589003201 ,Plaka,BİNEK 1/2,Kumanda zincirinin perçinlerinde silindir başı ayırma yüzeyinin koruma plakası. Hatırlatma: Sadece W   654   589   00   33   00 perçin presleme aleti ile bağlantılı olarak. Tahrik düşlüsü üzerinde kumanda zincirinin atmasının engellenmesi için plaka. 02 numaralı parça BİNEK 1/3 RAFINDA,,,
 W700589081500 ,Malafa,BİNEK 1/2,Şanzımandaki sol contanın montajı için.,,,
 W607589024000 ,Tutma kilidi,BİNEK 1/2,Eksantrik mili dişlisinin bloke edilmesi için.,,,
 W626589004000 ,Karşı tutucu,BİNEK 1/2,Eksantrik mili dişlisinin emme eksantrik milinde kilitlenmesi için kontra tutucu,,,
 W203589014301 -02 ,Çektirerek sökme ve takma el aleti,BİNEK 1/2, Uzun rot kolu lastik yatakları için dışarı ve içeri presleme aleti Malafa 126 589 03 15 00 ile bağlantılı olarak mafsallı ara yatağın vites çatalı üzerine çakılarak takılması için dışarı ve içeri presleme aleti.,,,
 W700589021500 ,Malafa,BİNEK 1/2, Planet dişliye emniyet segmanının takılması için malafa.,,,
 Bilgi Yok ,17 NUMARA ANAHTAR BAŞLIĞI,BİNEK 1/2,Bilgi yok,,,
 W240589009100 ,EHB- ADAPTÖR,BİNEK 1/2,"Elektro-hidrolik fren tertibatının havasını tahliye etmek için EHB adaptörüdür. Hatırlatma: EHB adaptörünü kullanmak için, yanında gelen mandal kelepçesiyle havalandırma kabının hortumuna bağlayın.",,,
 W700589011500 ,Malafa,BİNEK 1/2,Radyal mil keçelerinin içeri çakılması için malafa.,,,
 Bilgi Yok ,KELEPÇE PENSESİ,BİNEK 1/2,Bilgi yok,,,
 W700589091500 ,Malafa,BİNEK 1/2,Şanzımandaki sağ contanın montajı için.,,,
 W700589001500 ,Malafa,BİNEK 1/2, Radyal mil yağ keçelerinin içeri çakılması için malafa.,,,
 W700589001400 ,Lokma anahtarı,BİNEK 1/2, Geri vites şalterinin sökülmesi ve takılmasına ilişkin,,,
 W626589014000 ,Tutma kilidi,BİNEK 1/2,Şanzıman sökülmüş durumda marş motoru dişli çemberinin kilitlenmesi için.,,,
 W1105890000100 ,Rekor anahtarı,BİNEK 1/2,Bilgi yok,,,
 W607589011500 ,Malafa,BİNEK 1/2,Eksantrik milinin kilitlenmesi.,,,
 W642589003100 ,Aşağıda tutma aleti seti,BİNEK 1/3,Supap başlığı açıkken eksantrik millerini sabitlemek için yatak köprüleri (2 adet). ,,,
 W270589016100 ,Tutma Tertibatı,BİNEK 1/3," ÜÖN'de eksantrik milin aşağıda tutulması ve sabitlenmesi için tutma tertibatı Hatırlatma Özel el aleti W270589 00 61 00, tutucu tertibatı modifiye edilmiş bir özel el aleti versiyonu W270589 01 61 00, tutucu tertibatı ile değiştirilir. Değişiklikler, özel el aletinin işlevselliğinin daha yeni motor-jenerasyonlarında da sağlanması için uygulanmıştır. Mevcut özel el aleti W270589 00 61 00, tutucu tertibatı tekli aleti W270589 01 61 15, takozu ile güncel duruma getirilebilir. Temin etme bilgisi: W270 589 00 61 00 tutma tertibatı için yedek.",,,
 W220589044301 ,Takma el aleti,BİNEK 1/3,Arka aks taşıyıcısındaki arka elastomer yatağı için içeri çekme tertibatıdır.,,,
 W164589004300 ,Çektirerek sökme ve takma el aleti,BİNEK 1/3,"Süspansiyon ünitesinin enine bağlantı kolunda bulanan elastomer yataklarının sökülmesi ve çakılması için sökme ve içeri çekme tertibatı. Teknik hatırlatma: Yalnızca W 652 589 00 33 21 el pompası, W 652 589 00 33 22 oluklu silindir, W 001 589 10 91 00 hortum ve W 652 589 00 33 11 dişli mil ile bağlantılı olarak.",,,
 W700589161500 ,Malafa / Prizdirek,BİNEK 1/3,Bilgi yok,,,
 W607589003102 ,Adapsyon,BİNEK 1/3,Motorun sökülmesi ve takıması sırasında desteklenmesi ve bunlarla çalışma sırasında motor kaldırma tertibatının W246 589 00 62 00 uyumu için üst motor yatağı sökülmek zorundadır. Hatırlatma : Sadece motor kaldırma tertibatı W246 589 00 62 00 ile bağlantılı olarak kullanılmalıdır.,,,
 W166589004300 ,Çektirerek sökme ve takma el aleti,BİNEK 1/3,"Ön aks enine bağlantı kolundaki yatağın sökülmesi ve takılması için sökme ve içeri çekme tertibatı. Teknik hatırlatma: W 001 589 51 33 00 hidrolik pres, W 652 589 00 33 21 el pompası ve W 001 589 00 33 23 00 elastomer yatağı ve konfor yatak için hidrolik hortum ile bağlantılı olarak. ",,,
